name,id
"Balamanja (WS)",dIovFeKkcvv
"BAPHANI (WS)",g2Y9g7kfFtN
"Bembeke EPA Hqtrs  (WS)",GGGOp92gamQ
"Bembeke Research Station  (WS)",fBC0HuzB4t9
"Bilira (WS)",TsriO7s8H09
"Bimbi (WS)",O2eCRZ5ELdk
"Boolera (WS)",bjwrGGiEFJS
"BULALA A (WS)",G9YWWh18qfZ
"Bwanausi (WS)",htlNTmMxwtu
"Chafumbwa EPA Hqtrs (WS)",rSbcCyuwLCr
"Chambe  (WS)",hfO5xN56LcZ
"CHAMPHIRA (WS)",iZHX5v1aW4s
"Changamire (WS)",M0nMrl5eHcz
"Chanika (WS)",tObHlx0R1iZ
"Chasuku (WS)",uEU6mDCME8x
"CHIBANDAUKA (WS)",YK4sL83chWy
"Chigawe 1 (WS)",xN7xTi3BeCC
"Chigumula CCAP (WS)",QUSfg39YTFE
"Chikowa (WS)",ETzI1mAn1km
"Chikowa (WS)",tQECH58T3iG
"Chikuli  (WS)",Ad8ZtVMDNM3
"Chikuse  (WS)",g5wzTvDWsmV
"Chilaweni (WS)",lTlQwCaFm5X
"Chileka (WS)",ew0guhQarCc
"Chilembwe (WS)",vy33GFjQUTp
"Chilumpha (WS)",zMQ1XpngZlV
"Chilunga (WS)",P6hxMasUr5T
"Chiluwa EPA (WS)",MICGbxRSWkX
"Chimpesa (WS)",JAZrNwBgxSC
"Chimphamaba 1 (WS)",vI9Nzo2x9kr
"Chimphamba 2 (WS)",vnwhmaN2pNT
"Chimwala (WS)",LPlU6OJ8msi
"Chinangwa (WS)",IWF7qrAoqVL
"CHINDINDINDI (WS)",xUd2VF4yJBA
"Chingale (WS)",pxL53qSex6Z
"Chingondo (WS)",v82qQ3o38iz
"Chintheche (WS)",hHyQ0YeC9jr
"Chinyama  (WS)",XRrsESRVTkR
"Chionjeza (WS)",wrTGC1CYrrb
"Chipande (WS)",am5AQXe0Sq3
"Chipindimbi (WS)",Tp5bY8Bw0wV
"Chipini (WS)",njCdWOpJdmS
"Chipoka EPA (WS)",gLivEPZjJ2B
"Chisewu (WS)",MgO4TdppEjT
"Chisombezi (WS)",zSwGclTVSZI
"Chitala Research (WS)",FDc1x8XN6yP
"Chitera North (WS)",oPU5VgAthLC
"Chitera south (WS)",BBDUYd9SiAY
"Chitsonga (WS)",ex1Oo9nUhiD
"Chizumulu (WS)",WrQ7u6YusCA
